,Name,Link
0,Kenneth Rockwood,https://scholar.google.com//citations?hl=en&user=YbS7wHYAAAAJ
1,Jeff Dahn,https://scholar.google.com//citations?hl=en&user=upVeFJoAAAAJ
2,Scott Chapman,https://scholar.google.com//citations?hl=en&user=hvOg2xoAAAAJ
3,Manuel Mattheisen,https://scholar.google.com//citations?hl=en&user=uhlDFm4AAAAJ
4,Boris Worm,https://scholar.google.com//citations?hl=en&user=KnIMznoAAAAJ
5,W. Ford Doolittle,https://scholar.google.com//citations?hl=en&user=EBLCjRN1xl4C
6,JianLi Wang,https://scholar.google.com//citations?hl=en&user=MUOdVYQAAAAJ
7,Sherry H. Stewart,https://scholar.google.com//citations?hl=en&user=UPdxlxYAAAAJ
8,Rudolf Uher,https://scholar.google.com//citations?hl=en&user=b3gIKscAAAAJ
9,Arnold Mitnitski,https://scholar.google.com//citations?hl=en&user=ykxwlGwAAAAJ
10,Heike K. Lotze,https://scholar.google.com//citations?hl=en&user=uYE8my8AAAAJ
11,Hal Whitehead,https://scholar.google.com//citations?hl=en&user=G7XbuNkAAAAJ
12,Martin Alda,https://scholar.google.com//citations?hl=en&user=Ja19srkAAAAJ
13,Michael W. Gray,https://scholar.google.com//citations?hl=en&user=0ypemWUAAAAJ
14,Claire O'Donovan,https://scholar.google.com//citations?hl=en&user=PLih-lUAAAAJ
15,Raymond M. Klein,https://scholar.google.com//citations?hl=en&user=gP3fEvgAAAAJ
16,Brian Keith Hall,https://scholar.google.com//citations?hl=en&user=6hHYSxQAAAAJ
17,Michael Ungar,https://scholar.google.com//citations?hl=en&user=5kZfVIMAAAAJ
18,Julie LaRoche,https://scholar.google.com//citations?hl=en&user=UsVhHNMAAAAJ
19,Morgan Langille,https://scholar.google.com//citations?hl=en&user=jxThz9gAAAAJ
20,Leah Cahill,https://scholar.google.com//citations?hl=en&user=FuDFv3IAAAAJ
21,Jeffrey Hutchings,https://scholar.google.com//citations?hl=en&user=-V2bV0QAAAAJ
22,Erin R Johnson,https://scholar.google.com//citations?hl=en&user=57ER3oQAAAAJ
23,DWR Wallace,https://scholar.google.com//citations?hl=en&user=Fn5gjVMAAAAJ
24,Jill Hayden,https://scholar.google.com//citations?hl=en&user=8938gokAAAAJ
25,Scott Halperin,https://scholar.google.com//citations?hl=en&user=gc8sQn8AAAAJ
26,Rob Beiko,https://scholar.google.com//citations?hl=en&user=OmUy3vUAAAAJ
27,Christine T. Chambers,https://scholar.google.com//citations?hl=en&user=fhep3QMAAAAJ
28,Sandra Meier,https://scholar.google.com//citations?hl=en&user=aovt8toAAAAJ
29,Andrew Roger,https://scholar.google.com//citations?hl=en&user=Dm-pAawAAAAJ
30,Sanja Stanojevic,https://scholar.google.com//citations?hl=en&user=AgN4Z8YAAAAJ
31,Samiah Alam,https://scholar.google.com//citations?hl=en&user=15sCI2wAAAAJ
32,Kishore Pasumarthi,https://scholar.google.com//citations?hl=en&user=yHo7JvIAAAAJ
33,Jonathan M. Wright,https://scholar.google.com//citations?hl=en&user=H8X9ip4AAAAJ
34,Ian Meinertzhagen,https://scholar.google.com//citations?hl=en&user=W4aOFFsAAAAJ
35,Thomas Pulinilkunnil,https://scholar.google.com//citations?hl=en&user=KYPMRjIAAAAJ
36,Arthur Dyke,https://scholar.google.com//citations?hl=en&user=jGZBt9EAAAAJ
37,Harold A. Robertson,https://scholar.google.com//citations?hl=en&user=d4p8SIYAAAAJ
38,Christopher McMaster,https://scholar.google.com//citations?hl=en&user=QejW8J4AAAAJ
39,Stan Matwin,https://scholar.google.com//citations?hl=en&user=rCoJeuYAAAAJ
40,JH Barkow,https://scholar.google.com//citations?hl=en&user=gZYGfFAAAAAJ
41,John J. Cullen,https://scholar.google.com//citations?hl=en&user=vr9t9fEAAAAJ
42,Alastair GB Simpson,https://scholar.google.com//citations?hl=en&user=WxTCTBkAAAAJ
43,Craig McCormick,https://scholar.google.com//citations?hl=en&user=-U3BsVUAAAAJ
44,W Don Bowen,https://scholar.google.com//citations?hl=en&user=8MohkoIAAAAJ
45,Michael R. Johnston,https://scholar.google.com//citations?hl=en&user=XYXeJjMAAAAJ
46,Marilyn Macdonald,https://scholar.google.com//citations?hl=en&user=RpnG3-sAAAAJ
47,Sara J. Iverson,https://scholar.google.com//citations?hl=en&user=yGtpgPEAAAAJ
48,Chris Moore,https://scholar.google.com//citations?hl=en&user=DuFZd6MAAAAJ
49,Paul Bentzen,https://scholar.google.com//citations?hl=en&user=kFaeTGsAAAAJ
50,Prabir Basu,https://scholar.google.com//citations?hl=en&user=18NRURoAAAAJ
51,Evangelos Milios,https://scholar.google.com//citations?hl=en&user=ME8aQywAAAAJ
