,Name,Link
0,Michael C Ashton,https://scholar.google.com//citations?hl=en&user=6MzvH8YAAAAJ
1,William Pickett,https://scholar.google.com//citations?hl=en&user=tf83K-EAAAAJ
2,Thomas SC Farrell,https://scholar.google.com//citations?hl=en&user=qg9PzlgAAAAJ
3,Dirk De Clercq,https://scholar.google.com//citations?hl=en&user=9xGcY14AAAAJ
4,Teena Willoughby,https://scholar.google.com//citations?hl=en&user=6DcqwQ8AAAAJ
5,Newman Siu-kwan Sze,https://scholar.google.com//citations?hl=en&user=Y7qo7dMAAAAJ
6,Gordon Hodson,https://scholar.google.com//citations?hl=en&user=NyVn49MAAAAJ
7,Sid Segalowitz,https://scholar.google.com//citations?hl=en&user=TJx9YX8AAAAJ
8,Don McCreary,https://scholar.google.com//citations?hl=en&user=FjNwE6EAAAAJ
9,Ryan Plummer,https://scholar.google.com//citations?hl=en&user=1zXwrQgAAAAJ
10,Martin Tammemagi,https://scholar.google.com//citations?hl=en&user=_OYQ4tkAAAAJ
11,Catherine J. Mondloch,https://scholar.google.com//citations?hl=en&user=UTI7U4EAAAAJ
12,Mariek E. Schmidt,https://scholar.google.com//citations?hl=en&user=3qLeZkgAAAAJ
13,Cheryl McCormick,https://scholar.google.com//citations?hl=en&user=LstdmWQAAAAJ
14,Wassim Y. Almawi,https://scholar.google.com//citations?hl=en&user=zRn8LfYAAAAJ
15,"Shahryar Rahnamayan, PhD, PEng, SMIEEE",https://scholar.google.com//citations?hl=en&user=6ipYkfYAAAAJ
16,Andrea Doucet,https://scholar.google.com//citations?hl=en&user=tdUTxJAAAAAJ
17,"Danielle S. Molnar, Ph.D.",https://scholar.google.com//citations?hl=en&user=dDBhN6wAAAAJ
18,Ping Liang,https://scholar.google.com//citations?hl=en&user=gVbZZWgAAAAJ
19,Karen Arnell,https://scholar.google.com//citations?hl=en&user=zOl891wAAAAJ
20,Stephen S Cheung,https://scholar.google.com//citations?hl=en&user=5rhyQkkAAAAJ
21,"Diane E. Mack, PhD",https://scholar.google.com//citations?hl=en&user=zcZ0B4sAAAAJ
22,Ivan Brown,https://scholar.google.com//citations?hl=en&user=kqgeeEoAAAAJ
23,"Philip M. Wilson, PhD",https://scholar.google.com//citations?hl=en&user=Ehgtlb4AAAAJ
24,Thad A. Harroun,https://scholar.google.com//citations?hl=en&user=s-gHxMoAAAAJ
25,Terrance J Wade,https://scholar.google.com//citations?hl=en&user=dIi5j8wAAAAJ
26,Stefan M. Brudzynski,https://scholar.google.com//citations?hl=en&user=rUiVE-gAAAAJ
27,Toby Mündel,https://scholar.google.com//citations?hl=en&user=mfztQRUAAAAJ
28,Princely Ifinedo,https://scholar.google.com//citations?hl=en&user=0ckM7jAAAAAJ
29,Usman Raja,https://scholar.google.com//citations?hl=en&user=YP1PjeEAAAAJ
30,Elizabeth P. Shulman,https://scholar.google.com//citations?hl=en&user=EtSFUasAAAAJ
31,Tejaswini (Teju) Herath,https://scholar.google.com//citations?hl=en&user=KvmJkVIAAAAJ
32,Peter Tiidus,https://scholar.google.com//citations?hl=en&user=FtyU_NwAAAAJ
33,Stephen Anco,https://scholar.google.com//citations?hl=en&user=YTeHHrcAAAAJ
34,Jeff Stuart,https://scholar.google.com//citations?hl=en&user=3O4oNkIAAAAJ
35,Jianbo Gao,https://scholar.google.com//citations?hl=en&user=qGaO0ZMAAAAJ
36,Anthony Volk,https://scholar.google.com//citations?hl=en&user=l7Rb9ugAAAAJ
37,"Michael Busseri, PhD",https://scholar.google.com//citations?hl=en&user=VIZ0UMIAAAAJ
38,Andrew Dane,https://scholar.google.com//citations?hl=en&user=ICKZqHYAAAAJ
39,Panagiota (Nota) Klentrou,https://scholar.google.com//citations?hl=en&user=IX076WMAAAAJ
40,Philip Sullivan,https://scholar.google.com//citations?hl=en&user=KcTEVp8AAAAJ
41,Wendy E. Ward,https://scholar.google.com//citations?hl=en&user=A3SdagoAAAAJ
42,Gary Libben,https://scholar.google.com//citations?hl=en&user=cnluqLsAAAAJ
43,Gary Pickering,https://scholar.google.com//citations?hl=en&user=HGi_ZtYAAAAJ
44,Ivo Düntsch,https://scholar.google.com//citations?hl=en&user=xMqIN2UAAAAJ
45,Charles Despres,https://scholar.google.com//citations?hl=en&user=qoOCAZcAAAAJ
46,Brian D. Roy,https://scholar.google.com//citations?hl=en&user=e8KV6BsAAAAJ
47,Ian Brindle,https://scholar.google.com//citations?hl=en&user=01hPG6cAAAAJ
48,Glenn J Tattersall,https://scholar.google.com//citations?hl=en&user=FflTPW0AAAAJ
49,Jan C. Frijters,https://scholar.google.com//citations?hl=en&user=8H9-wjAAAAAJ
50,David A. Gabriel,https://scholar.google.com//citations?hl=en&user=tNi_JZoAAAAJ
51,Ron I Thomson,https://scholar.google.com//citations?hl=en&user=E0FLsG0AAAAJ
52,Diane Dupont,https://scholar.google.com//citations?hl=en&user=kR7-OxgAAAAJ
53,Matthew Kwan,https://scholar.google.com//citations?hl=en&user=qi1zwksAAAAJ
54,Travis Dudding,https://scholar.google.com//citations?hl=en&user=d3GC3g4AAAAJ
55,Barry Keith Grant,https://scholar.google.com//citations?hl=en&user=4cYJFs8AAAAJ
56,Michael Plyley,https://scholar.google.com//citations?hl=en&user=64vovGoAAAAJ
57,Doug Bruce,https://scholar.google.com//citations?hl=en&user=jWcmiioAAAAJ
58,Martin J. Head,https://scholar.google.com//citations?hl=en&user=LPqwnQ8AAAAJ
59,Michelle K. McGinn,https://scholar.google.com//citations?hl=en&user=RuAuSoUAAAAJ
60,Magnus Hultman,https://scholar.google.com//citations?hl=en&user=MeTix3IAAAAJ
61,Narongsak (Tek) Thongpapanl,https://scholar.google.com//citations?hl=en&user=DE8OmwQAAAAJ
62,Louis Volante,https://scholar.google.com//citations?hl=en&user=m3ckjJwAAAAJ
63,Kimberly Cote,https://scholar.google.com//citations?hl=en&user=XtO-af4AAAAJ
64,Karen L Campbell,https://scholar.google.com//citations?hl=en&user=HTcXH0YAAAAJ
65,Catherine Jean Nash,https://scholar.google.com//citations?hl=en&user=HeX_iiCmLvgC
66,Miriam Richards,https://scholar.google.com//citations?hl=en&user=0YXUfUMAAAAJ
67,Lynn McCleary,https://scholar.google.com//citations?hl=en&user=-kDba08AAAAJ
68,Jessica Blythe,https://scholar.google.com//citations?hl=en&user=CFAgvSQAAAAJ
69,Stephen A. Klassen,https://scholar.google.com//citations?hl=en&user=C8kWj4QAAAAJ
70,M Pilkington,https://scholar.google.com//citations?hl=en&user=9PlscQMAAAAJ
71,Shannon Kerwin,https://scholar.google.com//citations?hl=en&user=KqNn6_AAAAAJ
72,Steven Renzetti,https://scholar.google.com//citations?hl=en&user=Gc00WgIAAAAJ
73,Feri Razavi,https://scholar.google.com//citations?hl=en&user=mf_Ow74AAAAJ
74,Kenneth J Klassen,https://scholar.google.com//citations?hl=en&user=kYGRRnkAAAAJ
75,Ralph Morris,https://scholar.google.com//citations?hl=en&user=DGeVWosAAAAJ
76,Julian Kitchen,https://scholar.google.com//citations?hl=en&user=MI1WAYYAAAAJ
77,Lucas Damián Gorné,https://scholar.google.com//citations?hl=en&user=ZKVFK3sAAAAJ
78,Nicole Chimera,https://scholar.google.com//citations?hl=en&user=lBrM8vIAAAAJ
79,James Heap,https://scholar.google.com//citations?hl=en&user=MfTc75AAAAAJ
80,Rebecca EK MacPherson,https://scholar.google.com//citations?hl=en&user=hMHpqoUAAAAJ
81,Tim Fletcher,https://scholar.google.com//citations?hl=en&user=KJbFu1AAAAAJ
82,Angela D. Evans,https://scholar.google.com//citations?hl=en&user=_jZxVNQAAAAJ
83,Joe Norris,https://scholar.google.com//citations?hl=en&user=aRrI3UAAAAAJ
84,Timothy S. O'Connell,https://scholar.google.com//citations?hl=en&user=qsld9GEAAAAJ
85,Alison S. Waller,https://scholar.google.com//citations?hl=en&user=9KXjOUkAAAAJ
86,David Butz,https://scholar.google.com//citations?hl=en&user=HZ5bnG4AAAAJ
87,Richard J. Cheel,https://scholar.google.com//citations?hl=en&user=EMuDSrYAAAAJ
88,Charlis Raineki,https://scholar.google.com//citations?hl=en&user=uHtxo8IAAAAJ
89,Eugene Kaciak,https://scholar.google.com//citations?hl=en&user=zHlKtREAAAAJ
90,Bozidar Mitrovic,https://scholar.google.com//citations?hl=en&user=ttqRe70AAAAJ
91,Yifeng Li,https://scholar.google.com//citations?hl=en&user=HTE-3E4AAAAJ
92,Shauna Pomerantz,https://scholar.google.com//citations?hl=en&user=NZqYdtAAAAAJ
93,Kiyoko Gotanda,https://scholar.google.com//citations?hl=en&user=KE_QHK4AAAAJ
94,Corliss Bean,https://scholar.google.com//citations?hl=en&user=-fh94RMAAAAJ
95,"Tracy LM Kennedy, PhD",https://scholar.google.com//citations?hl=en&user=f9LUo6IAAAAJ
